claim_or_parameter,value,unit,uncertainty_or_range,source,source_type,exact_locator,date_verified,evidence_status,notes
communication_records,"3454 records; 1402 events; 15 synchronized frames",count,just over 142 min,Stancil et al. 2012,peer-reviewed paper / author manuscript,pp. 6-8,2026-08-27,measured as reported,Aborts and DAQ dead time reduced availability
decoded_performance,"about 0.1 bit/s at about 1% BER",mixed,rate estimate called rough by authors,Stancil et al. 2012,peer-reviewed paper / author manuscript,pp. 8-9,2026-08-27,estimated by source,Not one-pulse deadline performance
raw_ook_ber_at_lambda_0_81,0.222429,probability,zero background and equiprobable bits,Stancil et al. 2012 plus reproduction,derived from primary model,"Eq. model; scripts/reproduce_2012_channel.py",2026-08-27,derived,Equals exp(-0.81)/2
incident_proton_kinetic_energy_per_pulse,432587.691,J,derived from reported count and kinetic energy,Stancil et al. 2012 plus SI conversion,derived calculation,"p. 5; scripts/reproduce_2012_channel.py",2026-08-27,derived,Not wall-plug energy
qualifying_events_per_incident_proton_beam_joule,1.87245e-6,event/J,derived audit check,Stancil et al. 2012 plus reproduction,derived calculation,scripts/reproduce_2012_channel.py,2026-08-27,derived,Not portable and not wall-plug efficiency
numi_spill_and_cycle_examples,"8 or 10 microsecond extraction; about 2.1-2.4 s cycle",mixed,mode and period dependent,Adamson et al. 2016,collaboration technical paper,"Sec. 2; operating-history discussion",2026-08-27,measured/descriptive,Kicker rise is not external-request-to-beam latency
minerva_acquisition_gate,16,microsecond,"10 microsecond spill; 500 ns pre-spill; 5.5 microsecond post-spill",Perdue et al. 2012,collaboration DAQ paper,"Sec. 2; integration-gate paragraph",2026-08-27,measured/descriptive,Gate duration is not full decision latency
minerva_frame_readout,about 500,microsecond/frame,configuration specific,Perdue et al. 2012,collaboration DAQ paper,Sec. 2,2026-08-27,measured/descriptive,Typical physics gate averaged about 1200 frames
minerva_clock_tick,9.4,ns,electronics specific,Perdue et al. 2012,collaboration DAQ paper,Sec. 3,2026-08-27,measured/descriptive,Not end-to-end decision latency
minos_single_event_timing_resolution,about 1.5,ns,calibrated timing chain,Adamson et al. 2015,peer-reviewed collaboration paper,Secs. II-IV,2026-08-27,measured,Used pretrigger roughly 20 microseconds before beam
satellite_fso_serialization_example,1.2,microsecond,"1500-byte packet at assumed 10 Gb/s",Liang et al. 2023,peer-reviewed communications-model paper,"Sec. III.A pp. 3017-3018",2026-08-27,modeled source assumption,Not a measured market-route latency
satellite_fso_node_delay_assumption,10,ms/node,source model input,Liang et al. 2023,peer-reviewed communications-model paper,"Sec. III.A pp. 3017-3018; node-delay model",2026-08-27,synthetic assumption in cited source,Acquisition tracking and pointing setup is separately excluded by source
accelerator_cross_section_review_scope,"about 0.1-300",GeV,"energy flavor target and channel dependent",Zeller PDG review 2024,authoritative review,"introduction; summary plots",2026-08-27,literature synthesis,No universal scalar cross section or universal linear energy law
earth_absorption_sample,"10784 muons; 6.3-980 TeV",mixed,analysis and Standard Model uncertainties,IceCube Collaboration 2017,peer-reviewed collaboration paper,abstract and methods,2026-08-27,measured/inferred,Attenuation is energy and chord dependent
spherical_earth_reference_radius,6371,km,one-dimensional reference model,Dziewonski and Anderson 1981,peer-reviewed geophysics model,Table I and model convention,2026-08-27,model/reference value,Used only in spherical geometry
effective_electron_antineutrino_mass_limit,"<0.45",eV/c^2,90% confidence,KATRIN Collaboration 2025,peer-reviewed collaboration paper,abstract and result section,2026-08-27,measured limit,Not an individual eigenstate bound
illustrative_whole_earth_neutrino_lag,"order 1e-21",s,"0.45 eV reference rest-energy scale; 1 GeV total energy; Earth diameter",KATRIN Collaboration 2025 plus PREM and BIPM,derived calculation,"paper Eq. (time-of-flight); src/neutrino_trigger/geometry.py",2026-08-27,derived sensitivity calculation,Uses the effective beta-decay mass limit only as an illustrative reference scale; not a universal bound
vacuum_speed_of_light,299792458,m/s,exact,BIPM SI Brochure updated June 2026,authoritative standard,"p. 131; The metre",2026-08-27,established constant,Excludes terminals routes and processing
smf_28_ultra_group_index_at_1550_nm,1.4682,dimensionless,typical vendor characterization,Corning PI-1424-AEN July 2025,manufacturer technical sheet,"p. 2; Performance Characterizations",2026-08-27,measured/characterized,Not universal
derived_fiber_propagation_delay,4.897388,microsecond/km,group-index derivation,BIPM plus Corning PI-1424-AEN,derived calculation,n_g/c,2026-08-27,inferred,Excludes route stretch and equipment
historical_chicago_new_york_vacuum_lower_bound,about 3.93,ms one way,endpoint convention in source,Laughlin et al. 2014,peer-reviewed paper,Sec. I pp. 284-285,2026-08-27,derived in source,Historical corridor only
historical_optimized_fiber_response,about 6.65,ms one way,quoted/inferred 2010-2012 context,Laughlin et al. 2014,peer-reviewed paper,Secs. I and IV,2026-08-27,historical estimate,Market response is not isolated propagation
specialized_microwave_route_sample,"1139.5 km; 7.7 ms RTT",mixed,"limited weekend sample; degraded/down periods; no FEC",Bhattacherjee et al. 2022,peer-reviewed conference paper,Sec. 6.1 pp. 1122-1123,2026-08-27,limited active measurement,Within 1.5% of surface-vacuum RTT
current_best_em_route_for_named_venue_pair,UNKNOWN,ms,LITERATURE GAP,bounded literature search,research audit,docs/literature-map.md,2026-08-27,not established,Must be measured for actual endpoints
lse_race_dataset,"about 2.2e9 messages; 43 days",mixed,FTSE 350 August-October 2015,Aquilina et al. 2022,peer-reviewed economics paper,Sec. II.B pp. 498-501,2026-08-27,measured in sample,Underlying regulatory messages are not public
ftse_100_races_per_day_per_symbol,537,count,study race definition,Aquilina et al. 2022,peer-reviewed economics paper,Table II,2026-08-27,measured in sample,Not this proposal's opportunity rate
modal_winner_first_loser_gap,"5-10",microsecond,same sample and definition,Aquilina et al. 2022,peer-reviewed economics paper,pp. 498-501,2026-08-27,measured in sample,Not transferable alpha decay
historical_global_latency_arbitrage_scale,"4.8 billion main; 2.3-8.4 billion sensitivity",2018 USD,cross-country extrapolation,Aquilina et al. 2022,peer-reviewed economics paper,"Sec. VI.B-C; Table XVII",2026-08-27,author extrapolation,Not a permanent pool or addressable market
iex_intentional_access_delay,350,microsecond one way,rule/design fact,SEC Release 34-78102,regulator document,"pp. 1-2 note 4; Sec. I.B",2026-08-27,official record,Not a welfare estimate
byx_periodic_auction_interval,100,ms,rule/design fact,SEC Release 34-91423,regulator document,"Rule 11.25; pp. 47-50",2026-08-27,official record,Demonstrates market redesign
source_command_to_beam_latency,UNKNOWN,s,LITERATURE GAP,bounded literature search,research audit,research-targets.md,2026-08-27,not established,Scheduled cycle and kicker rise are invalid substitutes
emitted_neutrino_yield_per_wall_plug_joule,UNKNOWN,neutrino/J,LITERATURE GAP,bounded literature search,research audit,research-targets.md,2026-08-27,not established,Do not infer from protons per pulse
qualifying_events_per_wall_plug_joule,UNKNOWN,event/J,LITERATURE GAP,bounded literature search,research audit,research-targets.md,2026-08-27,not established,Dominant integrated physical bottleneck
authenticated_false_trigger_probability,UNKNOWN,probability/window,LITERATURE GAP,bounded literature search,research audit,research-targets.md,2026-08-27,not established,Poisson background alone excludes correlated faults and attacks
relay_regeneration_delay,UNKNOWN,s,LITERATURE GAP,bounded literature search,research audit,research-targets.md,2026-08-27,not established,No integrated regenerative neutrino relay found
incremental_value_per_successful_trigger,UNKNOWN,currency/event,LITERATURE GAP,bounded literature search,research audit,research-targets.md,2026-08-27,not established,All plotted values are synthetic
annual_valid_opportunity_rate,UNKNOWN,event/year,LITERATURE GAP,bounded literature search,research audit,research-targets.md,2026-08-27,not established,Historical race counts are not transferable
transferable_alpha_decay_curve,NOT ESTABLISHED,value/time,LITERATURE GAP,bounded literature search,research audit,research-targets.md,2026-08-27,not established,All exponential examples are synthetic
