figure,parameter,value,unit,evidence_status,notes
05_incremental_value,annual_fixed_cost_currency,750000,synthetic currency/year,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
05_incremental_value,annual_operating_cost_currency,250000,synthetic currency/year,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,direct_signal_mean_min_event_per_gate,0.001,qualifying event/gate,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,direct_signal_mean_max_event_per_gate,10,qualifying event/gate,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,direct_signal_mean_sample_count,121,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,relay_regeneration_delay_min_s,1e-06,s/relay,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,relay_regeneration_delay_max_s,0.01,s/relay,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,relay_regeneration_delay_sample_count,101,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,total_distance_m,5000000,m,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,endpoint_delay_s,0.0002,s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,em_fallback_deadline_s,0.025,s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,value_decay_s,0.05,s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,initial_gross_value_currency,500,synthetic currency,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,valid_windows_per_year,10000,valid window/year,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,null_windows_per_year,1000000,null window/year,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,false_trigger_loss_currency,2000,synthetic currency/false trigger,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,first_hop_false_origin_probability,1e-06,probability/null gate,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,pulse_cost_per_hop_currency,2,synthetic currency/valid window/hop,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,base_annual_fixed_cost_currency,150000,synthetic currency/year,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,base_annual_operating_cost_currency,100000,synthetic currency/year,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,annual_fixed_cost_per_relay_currency,40000,synthetic currency/year/relay,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,annual_operating_cost_per_relay_currency,10000,synthetic currency/year/relay,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,minimum_hop_count,1,hop,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,maximum_hop_count,8,hop,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,synthetic_geometric_exponent,2,dimensionless exponent,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,pulse_cost_convention,all-hop conservative cost on every valid window,text,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
06_relay_phase_diagram,false_trigger_relay_pulse_cost_convention,excluded separately; include in false-trigger loss if material,text,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
07_events_per_joule_break_even,target_probability_min,0.5,probability,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
07_events_per_joule_break_even,target_probability_max,0.999,probability,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
07_events_per_joule_break_even,target_probability_sample_count,220,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
07_events_per_joule_break_even,pulse_energy_min_j,1000,J,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
07_events_per_joule_break_even,pulse_energy_max_j,1e+15,J,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
07_events_per_joule_break_even,pulse_energy_sample_count,260,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
07_events_per_joule_break_even,count_threshold,1,count,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
07_events_per_joule_break_even,background_mean_event_per_gate,0,qualifying event/gate,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
08_hybrid_channel_comparison,em_fallback_deadline_s,0.001,s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
08_hybrid_channel_comparison,fixed_neutrino_latency_s,0.0002,s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
08_hybrid_channel_comparison,trigger_rate_min_hz,1,qualifying event/s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
08_hybrid_channel_comparison,trigger_rate_max_hz,100000,qualifying event/s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
08_hybrid_channel_comparison,trigger_rate_sample_count,400,sample,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
08_hybrid_channel_comparison,count_threshold,1,count,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
08_hybrid_channel_comparison,background_rate_hz,0,qualifying event/s,SYNTHETIC,SIMULATION_ONLY; illustrative assumption; not measured system performance.
